t,label,vram_b
1779693126.8398259,baseline_before_launch,1446084608
1779693126.929033,sample,1446121472
1779693128.021603,sample,17959247872
1779693129.114764,sample,17959247872
1779693130.205755,sample,17959247872
1779693131.3044019,sample,17959247872
1779693132.4077756,sample,17959247872
1779693133.5019343,sample,17959247872
1779693134.5983183,sample,17959247872
1779693135.6950042,sample,17959247872
1779693136.7866066,sample,17959247872
1779693137.8941495,sample,17959247872
1779693138.990567,sample,17959247872
1779693140.080958,sample,17959247872
1779693141.1780784,sample,17959247872
1779693142.2699676,sample,17959264256
1779693143.3685226,sample,17959247872
1779693144.4587462,sample,17959247872
1779693145.557956,sample,20782751744
1779693145.9615438,after_health,20784848896
1779693146.0579703,before_fill,20784848896
1779693146.6517818,sample,21136035840
1779693147.7405305,sample,24412745728
1779693148.8322499,sample,24412745728
1779693149.919006,sample,24413073408
1779693151.00764,sample,24413249536
1779693151.184777,after_fill,24413392896
1779693151.2718108,before_test,24413376512
1779693152.0972593,sample,24413376512
1779693152.780288,after_test,24413696000
1779693153.1323075,after_shutdown,1448165376
1779693153.1860392,sample,1448165376
