t,label,vram_b
1779693269.2823617,baseline_before_launch,1449738240
1779693269.3749478,sample,1449775104
1779693270.4682283,sample,17962893312
1779693271.5637565,sample,17962893312
1779693272.656595,sample,17962893312
1779693273.7508183,sample,17962893312
1779693274.840127,sample,17962893312
1779693275.931399,sample,17962893312
1779693277.0227344,sample,17962893312
1779693278.1107583,sample,17962893312
1779693279.2040353,sample,17962893312
1779693280.2963297,sample,17962893312
1779693281.3896248,sample,19550486528
1779693282.4023538,after_health,20786679808
1779693282.4841652,sample,20786679808
1779693282.4900596,before_fill,20786679808
1779693283.5723197,sample,21137891328
1779693284.6621993,sample,24414601216
1779693285.7502031,sample,24414601216
1779693286.840391,sample,24414928896
1779693287.781161,after_fill,24417349632
1779693287.8736277,before_test,24417349632
1779693287.9290714,sample,24417349632
1779693289.0180984,sample,24417349632
1779693289.404817,after_test,24417665024
1779693289.7567558,after_shutdown,1451835392
