t,label,vram_b
1779693153.3352988,baseline_before_launch,1448165376
1779693153.4288323,sample,1448202240
1779693154.5212233,sample,17961263104
1779693155.613526,sample,17961328640
1779693156.7052894,sample,17961328640
1779693157.8036945,sample,17961328640
1779693158.9008276,sample,17961328640
1779693159.992608,sample,17961328640
1779693161.084054,sample,17961328640
1779693162.1774085,sample,17961328640
1779693163.284586,sample,20785115136
1779693163.459003,after_health,20785115136
1779693163.5462582,before_fill,20785115136
1779693164.3728976,sample,21131603968
1779693165.4659426,sample,24408309760
1779693166.5564742,sample,24411979776
1779693167.648407,sample,24412319744
1779693168.740141,sample,24412303360
1779693169.1614516,after_fill,24412622848
1779693169.2497969,before_test,24412622848
1779693169.8282332,sample,24412622848
1779693170.8688197,after_test,24412962816
1779693170.9184387,sample,23777234944
1779693171.2220216,after_shutdown,1451851776
