case,type_a,type_b,n_mats,n_used,b,m,n,k,time_us,flops,memory_kb,n_runs,supported,passed,error_message
auto,q4_0,f32,128,8,f32,768,64,2048,506.750496,3178315065525.068848,116255,2016,1,1,
auto,q4_0,f32,128,8,f32,768,128,2048,448.486161,7182441185854.396484,121919,2240,1,1,
auto,q4_0,f32,128,8,f32,768,256,2048,1855.615809,3471866812820.779785,133247,544,1,1,
auto,q4_0,f32,128,8,f32,768,512,2048,546.885917,23560493124345.367188,155903,1832,1,1,
auto,q4_0,f32,32,4,f32,1792,64,2048,282.748036,6645663111049.365234,68359,3564,1,1,
auto,q4_0,f32,32,4,f32,1792,128,2048,251.683934,14931808817747.125000,72207,3996,1,1,
auto,q4_0,f32,32,4,f32,1792,256,2048,268.284109,28015795612470.910156,79903,3738,1,1,
auto,q4_0,f32,32,4,f32,1792,512,2048,3146.178571,4777982302884.452148,95295,336,1,1,
auto,q4_K,f32,128,8,f32,768,64,2048,662.440476,2431332012292.209961,116255,1512,1,1,
auto,q4_K,f32,128,8,f32,768,128,2048,370.338235,8698063459317.793945,121919,2720,1,1,
auto,q4_K,f32,128,8,f32,768,256,2048,3042.167614,2117717286556.479248,133247,352,1,1,
auto,q4_K,f32,128,8,f32,768,512,2048,550.951542,23386633686021.777344,155903,1816,1,1,
auto,q4_K,f32,32,4,f32,1792,64,2048,196.098830,9582148899498.701172,68359,5130,1,1,
auto,q4_K,f32,32,4,f32,1792,128,2048,198.896811,18894704044706.890625,72207,5049,1,1,
auto,q4_K,f32,32,4,f32,1792,256,2048,1903.547619,3948518383669.589355,79903,546,1,1,
auto,q4_K,f32,32,4,f32,1792,512,2048,529.759093,28375889580698.800781,95295,1897,1,1,
auto,q6_K,f32,128,8,f32,768,64,2048,552.539683,2914926813214.593750,166943,1827,1,1,
auto,q6_K,f32,128,8,f32,768,128,2048,577.878409,5574227071517.482422,172607,1760,1,1,
auto,q6_K,f32,128,8,f32,768,256,2048,4217.637500,1527502291033.783936,183935,240,1,1,
auto,q6_K,f32,128,8,f32,768,512,2048,815.460227,15800772934190.814453,206591,1232,1,1,
auto,q6_K,f32,32,4,f32,1792,64,2048,353.935709,5309009920889.587891,97927,2862,1,1,
auto,q6_K,f32,32,4,f32,1792,128,2048,335.585586,11198622781852.349609,101775,2997,1,1,
auto,q6_K,f32,32,4,f32,1792,256,2048,11495.693878,653826802284.440063,109471,98,1,1,
auto,q6_K,f32,32,4,f32,1792,512,2048,2324.596774,6466663682442.324219,124863,434,1,1,
auto,q8_0,f32,128,8,f32,768,64,2048,1490.271284,1080751372584.864868,214559,693,1,1,
auto,q8_0,f32,128,8,f32,768,128,2048,468.814366,6871004192427.307617,220223,2144,1,1,
auto,q8_0,f32,128,8,f32,768,256,2048,2527.575000,2548866381413.014160,231551,400,1,1,
auto,q8_0,f32,128,8,f32,768,512,2048,569.247727,22634964130171.796875,254207,1760,1,1,
auto,q8_0,f32,32,4,f32,1792,64,2048,312.005247,6022489078590.598633,125703,3240,1,1,
auto,q8_0,f32,32,4,f32,1792,128,2048,285.177208,13178109185711.488281,129551,3510,1,1,
auto,q8_0,f32,32,4,f32,1792,256,2048,314.301378,23913966922956.390625,137247,3192,1,1,
auto,q8_0,f32,32,4,f32,1792,512,2048,3592.646429,4184209561077.637695,152639,280,1,1,
