
ROCPROFV3 SUMMARY:

|                                                                                                                                                                                                                                                                            NAME                                                                                                                                                                                                                                                                             |     DOMAIN      |      CALLS      | DURATION (nsec) | AVERAGE (nsec)  | PERCENT (INC) |   MIN (nsec)    |   MAX (nsec)    |     STDDEV      |
|-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|-----------------|-----------------|-----------------|-----------------|---------------|-----------------|-----------------|-----------------|
| void mul_mat_vec_q<(ggml_type)14, 1, false, false>(void const*, void const*, int const*, ggml_cuda_mm_fusion_args_device, float*, unsigned int, HIP_vector_type<unsigned int, 3u>, unsigned int, unsigned int, unsigned int, HIP_vector_type<unsigned int, 3u>, unsigned int, unsigned int, unsigned int, HIP_vector_type<unsigned int, 3u>, unsigned int, unsigned int, unsigned int, unsigned int)                                                                                                                                                        | KERNEL_DISPATCH |              12 |         9679168 |       8.066e+05 |     34.622992 |           62320 |         4098101 |       1.222e+06 |
| __amd_rocclr_copyBuffer                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     | KERNEL_DISPATCH |             412 |         6691713 |       1.624e+04 |     23.936678 |            3000 |         1090446 |       9.361e+04 |
| void mul_mat_vec_q<(ggml_type)8, 1, false, false>(void const*, void const*, int const*, ggml_cuda_mm_fusion_args_device, float*, unsigned int, HIP_vector_type<unsigned int, 3u>, unsigned int, unsigned int, unsigned int, HIP_vector_type<unsigned int, 3u>, unsigned int, unsigned int, unsigned int, HIP_vector_type<unsigned int, 3u>, unsigned int, unsigned int, unsigned int, unsigned int)                                                                                                                                                         | KERNEL_DISPATCH |              36 |         4709822 |       1.308e+05 |     16.847329 |           11360 |          334802 |       1.111e+05 |
| _ZL16k_set_rows_quantIl12block_tbq4_0Li128ETnPFvPKfPT0_EXadL_ZL25quantize_f32_tbq4_0_blockS2_PS0_EEEvS2_PKT_S4_llllllllllllll15HIP_vector_typeIjLj3EESC_SC_SC_SC_                                                                                                                                                                                                                                                                                                                                                                                           | KERNEL_DISPATCH |               8 |         1351687 |       1.690e+05 |      4.835069 |          154121 |          189801 |       1.714e+04 |
| void flash_attn_ext_vec<256, 1, (ggml_type)43, (ggml_type)43, false, false, false, 0, true>(char const*, char const*, char const*, char const*, char const*, int const*, float*, HIP_vector_type<float, 2u>*, float, float, float, float, unsigned int, float, int, HIP_vector_type<unsigned int, 3u>, int, int, int, int, int, int, int, int, int, int, int, long, int, int, long, int, int, int, int, int, long)                                                                                                                                          | KERNEL_DISPATCH |               4 |         1112125 |       2.780e+05 |      3.978141 |          165880 |          512242 |       1.580e+05 |
| void k_bin_bcast<&(op_mul(float, float)), float, float, float, float const*>(float const*, float const*, float*, int, int, int, HIP_vector_type<unsigned int, 3u>, HIP_vector_type<unsigned int, 3u>, HIP_vector_type<unsigned int, 3u>, HIP_vector_type<unsigned int, 3u>, HIP_vector_type<unsigned int, 3u>, int, int, int, int, int, int, int, int, int, int, int, float const*)                                                                                                                                                                         | KERNEL_DISPATCH |             136 |          922802 |       6.785e+03 |      3.300921 |            2400 |          371522 |       3.170e+04 |
| void mul_mat_vec_q<(ggml_type)8, 1, true, false>(void const*, void const*, int const*, ggml_cuda_mm_fusion_args_device, float*, unsigned int, HIP_vector_type<unsigned int, 3u>, unsigned int, unsigned int, unsigned int, HIP_vector_type<unsigned int, 3u>, unsigned int, unsigned int, unsigned int, HIP_vector_type<unsigned int, 3u>, unsigned int, unsigned int, unsigned int, unsigned int)                                                                                                                                                          | KERNEL_DISPATCH |               8 |          599644 |       7.496e+04 |      2.144964 |           14120 |          336162 |       1.060e+05 |
| void mul_mat_vec_q<(ggml_type)21, 1, true, false>(void const*, void const*, int const*, ggml_cuda_mm_fusion_args_device, float*, unsigned int, HIP_vector_type<unsigned int, 3u>, unsigned int, unsigned int, unsigned int, HIP_vector_type<unsigned int, 3u>, unsigned int, unsigned int, unsigned int, HIP_vector_type<unsigned int, 3u>, unsigned int, unsigned int, unsigned int, unsigned int)                                                                                                                                                         | KERNEL_DISPATCH |               4 |          559284 |       1.398e+05 |      2.000594 |          136041 |          142681 |       2.846e+03 |
| void mul_mat_vec_q<(ggml_type)23, 1, true, false>(void const*, void const*, int const*, ggml_cuda_mm_fusion_args_device, float*, unsigned int, HIP_vector_type<unsigned int, 3u>, unsigned int, unsigned int, unsigned int, HIP_vector_type<unsigned int, 3u>, unsigned int, unsigned int, unsigned int, HIP_vector_type<unsigned int, 3u>, unsigned int, unsigned int, unsigned int, unsigned int)                                                                                                                                                         | KERNEL_DISPATCH |               4 |          534363 |       1.336e+05 |      1.911450 |           40841 |          171721 |       6.254e+04 |
