label,model,priority,M,N,K,kind,notes
27b_ffn_gate_up,qwen3.6-27b,P0,128,17408,5120,ffn_gate_up,"dense FFN gate/up, 64 main layers + MTP; q4_K common"
27b_ffn_gate_up,qwen3.6-27b,P0,256,17408,5120,ffn_gate_up,"dense FFN gate/up, 64 main layers + MTP; q4_K common"
27b_ffn_gate_up,qwen3.6-27b,P0,512,17408,5120,ffn_gate_up,"dense FFN gate/up, 64 main layers + MTP; q4_K common"
27b_ffn_gate_up,qwen3.6-27b,P0,1024,17408,5120,ffn_gate_up,"dense FFN gate/up, 64 main layers + MTP; q4_K common"
27b_ffn_gate_up,qwen3.6-27b,P0,2048,17408,5120,ffn_gate_up,"dense FFN gate/up, 64 main layers + MTP; q4_K common"
27b_ffn_down,qwen3.6-27b,P0,128,5120,17408,ffn_down,"dense FFN down, large K; quality-sensitive residual path"
27b_ffn_down,qwen3.6-27b,P0,256,5120,17408,ffn_down,"dense FFN down, large K; quality-sensitive residual path"
27b_ffn_down,qwen3.6-27b,P0,512,5120,17408,ffn_down,"dense FFN down, large K; quality-sensitive residual path"
27b_ffn_down,qwen3.6-27b,P0,1024,5120,17408,ffn_down,"dense FFN down, large K; quality-sensitive residual path"
27b_ffn_down,qwen3.6-27b,P0,2048,5120,17408,ffn_down,"dense FFN down, large K; quality-sensitive residual path"
27b_attn_q_gate_or_full_q,qwen3.6-27b,P1,128,12288,5120,attention_q_gate,full-attn Q/gate family from scouts
27b_attn_q_gate_or_full_q,qwen3.6-27b,P1,256,12288,5120,attention_q_gate,full-attn Q/gate family from scouts
27b_attn_q_gate_or_full_q,qwen3.6-27b,P1,512,12288,5120,attention_q_gate,full-attn Q/gate family from scouts
27b_attn_q_gate_or_full_q,qwen3.6-27b,P1,1024,12288,5120,attention_q_gate,full-attn Q/gate family from scouts
27b_recurrent_qkv_or_fused_qkv,qwen3.6-27b,P1,128,10240,5120,recurrent_or_fused_qkv,GDN/fused QKV-like family; validate route before promotion
27b_recurrent_qkv_or_fused_qkv,qwen3.6-27b,P1,256,10240,5120,recurrent_or_fused_qkv,GDN/fused QKV-like family; validate route before promotion
27b_recurrent_qkv_or_fused_qkv,qwen3.6-27b,P1,512,10240,5120,recurrent_or_fused_qkv,GDN/fused QKV-like family; validate route before promotion
27b_recurrent_qkv_or_fused_qkv,qwen3.6-27b,P1,1024,10240,5120,recurrent_or_fused_qkv,GDN/fused QKV-like family; validate route before promotion
27b_recurrent_z,qwen3.6-27b,P1,128,6144,5120,recurrent_z,GDN z projection family
27b_recurrent_z,qwen3.6-27b,P1,256,6144,5120,recurrent_z,GDN z projection family
27b_recurrent_z,qwen3.6-27b,P1,512,6144,5120,recurrent_z,GDN z projection family
27b_recurrent_z,qwen3.6-27b,P1,1024,6144,5120,recurrent_z,GDN z projection family
27b_attn_or_gdn_out,qwen3.6-27b,P1,128,5120,6144,attention_or_gdn_out,"O/out projection, K=6144"
27b_attn_or_gdn_out,qwen3.6-27b,P1,256,5120,6144,attention_or_gdn_out,"O/out projection, K=6144"
27b_attn_or_gdn_out,qwen3.6-27b,P1,512,5120,6144,attention_or_gdn_out,"O/out projection, K=6144"
27b_attn_or_gdn_out,qwen3.6-27b,P1,1024,5120,6144,attention_or_gdn_out,"O/out projection, K=6144"
27b_kv_gqa,qwen3.6-27b,P2,128,1024,5120,kv_gqa,small-N K/V GQA projection; lower arithmetic intensity
27b_kv_gqa,qwen3.6-27b,P2,512,1024,5120,kv_gqa,small-N K/V GQA projection; lower arithmetic intensity
27b_kv_gqa,qwen3.6-27b,P2,1024,1024,5120,kv_gqa,small-N K/V GQA projection; lower arithmetic intensity
35b_full_attn_q_gate,qwen3.6-35b-a3b,P0,128,8192,2048,attention_q_gate,full-attn Q/gate dense family; 35B target
35b_full_attn_q_gate,qwen3.6-35b-a3b,P0,256,8192,2048,attention_q_gate,full-attn Q/gate dense family; 35B target
35b_full_attn_q_gate,qwen3.6-35b-a3b,P0,512,8192,2048,attention_q_gate,full-attn Q/gate dense family; 35B target
35b_full_attn_q_gate,qwen3.6-35b-a3b,P0,1024,8192,2048,attention_q_gate,full-attn Q/gate dense family; 35B target
35b_full_attn_q_gate,qwen3.6-35b-a3b,P0,2048,8192,2048,attention_q_gate,full-attn Q/gate dense family; 35B target
35b_recurrent_qkv,qwen3.6-35b-a3b,P0,128,10240,2048,recurrent_qkv,GDN/recurrent qkv family; 35B target
